69, 76, 79, 56
221, 113, 10, 20
396, 32, 17, 32
313, 36, 10, 22
305, 15, 33, 21
309, 73, 9, 23
148, 107, 284, 87
120, 61, 24, 35
425, 37, 12, 26
424, 74, 23, 23
130, 61, 23, 37
98, 60, 31, 28
160, 77, 20, 28
296, 54, 21, 14
303, 68, 16, 20
63, 9, 32, 42
317, 151, 27, 8
293, 163, 19, 16
222, 113, 9, 18
335, 87, 30, 9
69, 95, 24, 33
43, 14, 85, 82
102, 128, 42, 5
332, 166, 16, 16
86, 0, 80, 45
228, 42, 58, 30
247, 120, 12, 22
233, 182, 62, 11
357, 54, 84, 31
335, 24, 114, 74
35, 61, 23, 68
339, 170, 11, 14
236, 18, 17, 19
128, 28, 25, 16
414, 34, 13, 26
414, 35, 11, 25
128, 4, 37, 20
365, 68, 5, 18
69, 74, 32, 16
385, 54, 57, 27
231, 164, 47, 20
20, 4, 40, 26
103, 28, 35, 51
368, 166, 18, 16
173, 82, 21, 16
350, 167, 14, 15
414, 35, 13, 26
374, 74, 16, 14
86, 128, 58, 9
278, 46, 21, 19
337, 35, 13, 29
319, 111, 16, 14
235, 167, 9, 15
65, 30, 11, 22
159, 59, 27, 52
302, 30, 133, 35
408, 33, 3, 29
258, 65, 42, 22
114, 75, 15, 14
332, 42, 109, 56
363, 80, 40, 16
63, 23, 13, 28
11, 7, 47, 123
243, 46, 52, 24
256, 65, 77, 32
256, 65, 45, 32
368, 164, 58, 25
226, 8, 56, 53
226, 75, 57, 25
247, 120, 34, 35
80, 116, 64, 20
129, 94, 22, 27
230, 46, 48, 40
285, 132, 20, 22
105, 69, 10, 14
69, 77, 87, 56
401, 75, 36, 15
247, 47, 32, 14
295, 109, 25, 32
188, 111, 50, 37
302, 30, 29, 33
202, 153, 29, 29
247, 73, 33, 14
241, 16, 54, 34
422, 33, 14, 30
293, 49, 13, 18
100, 31, 96, 113
131, 98, 64, 36
295, 167, 8, 15
313, 35, 16, 27
408, 180, 24, 11
215, 159, 16, 23
302, 33, 16, 30
303, 30, 37, 34
301, 68, 17, 21
223, 30, 225, 68
319, 161, 17, 23
357, 59, 23, 19
66, 71, 40, 24
194, 103, 35, 25
258, 164, 25, 17
31, 64, 33, 70
80, 33, 25, 41
249, 119, 21, 23
134, 55, 13, 15
195, 150, 100, 43
335, 27, 113, 69
173, 31, 21, 67
407, 167, 11, 15
143, 125, 48, 18
97, 26, 41, 63
412, 158, 20, 21
332, 35, 23, 33
223, 157, 5, 24
335, 77, 90, 19
223, 157, 5, 23
